"code","Min.   ","1st Qu.","Mean   ","Median ","3rd Qu.","Max.   "
"AFL",168,183,187.8,187,193,211
"NBA",175,196,201,203,208,221
"NRL",168,182,185.5,185,190,199
"NFL",168,183,187.8,188,193,206
"SOCCER",157.5,177.8,181.9,182.9,185.4,208.3
